"id","goalteam","changed_result","player_name","player_img","player_profile","status","time"
"26910","HT","3=0","L. Young","https://thumb.resfu.com/img_data/players/small/274.jpg?size=37x&5","/jugador/2005/L-Young-274","goal","58'"
"26911","HT","1=0","C. Bellamy","https://thumb.resfu.com/img_data/players/small/500.jpg?size=37x&5","/jugador/2005/C-Bellamy-500","goal","40'"
"26911","HT","2=0","A. Hughes","https://thumb.resfu.com/img_data/players/small/155.jpg?size=37x&5","/jugador/2005/A-Hughes-155","goal","50'"
"26911","AT","2=1","D. Bentley","https://thumb.resfu.com/img_data/players/small/286.jpg?size=37x&5","/jugador/2005/D-Bentley-286","goal","52'"
"26911","AT","2=2","G. Doherty","https://thumb.resfu.com/img_data/players/small/10013.jpg?size=37x&5","/jugador/2005/G-Doherty-10013","goal","74'"
"26913","HT","1=0","S. Gerrard","https://thumb.resfu.com/img_data/players/small/349.jpg?size=37x&5","/jugador/2005/S-Gerrard-349","goal","70'"
"26913","AT","1=1","Lomana Lualua","https://thumb.resfu.com/img_data/players/small/10719.jpg?size=37x&5","/jugador/2005/L-Lualua-10719","goal","90'"
"26914","HT","1=0","Paul Dickov","https://thumb.resfu.com/img_data/players/small/9462.jpg?size=37x&5","/jugador/2005/Paul-Dickov","goal","17'"
"26914","HT","1=0","Lorenzo Amoruso","https://thumb.resfu.com/img_data/players/small/265251.jpg?size=37x&5","/jugador/2005/Amoruso-265251","yellowbeforredcard","71'"
"26914","AT","1=1","A. Smith","https://thumb.resfu.com/img_data/players/small/599.jpg?size=37x&5","/jugador/2005/A-Smith-599","goal","90'"
